Title,IMDB_ID,Subtitle,Status,Media Type,Remarks,Year,genre,runtime,director,plot,award,imdb_rating,release_date,directors
FAMILY OF SPIES,tt0099543,,LIM,TV,"THE REQUEST FOR EQUIPMENT AND FILMING ON SHIPS AND INSTALLATIONS WAS DENIED BEING THAT THERE WAS NO BENEFIT FOR NAVY OR DOD. HOWEVER, FILMING OF THE EXTERIORS WAS APPROVED FOR FILMING.",1990,Drama,175 min,Stephen Gyllenhaal,"Park any subtlety at the threshold. The spits and spats keep the anchor shining in this Naval officer adventure. Who knows what is next? The children are precious. The interplay between home, the office, and the boat keep you edgy. Sadness sets in as you see the decline of loyalty to purpose.",Nominated for 2 Golden Globes. Another 1 win & 3 nominations.,6.5,04 Feb 1990,nm0350455
FAT MAN & LITTLE BOY,tt0097336,,DEN,FILM,"THE FILM WAS DENIED FOR APPROVAL BECAUSE IT PROVIDED AN INACCURATE PORTRAYAL OF THE ARMY. THIS WAS A ""MESSAGE"" FILM AGAINST THE ATOMIC BOMB. COMPLETE FICTION. IT BENEFITED THE ARMY AND THE DEPARTMENT IN NO WAY WHATSOEVER",1989,"Biography, Drama, History, War",127 min,Roland Joffé,"In real life, Robert Oppenheimer was the scientific head of the Manhattan Project, the secret wartime project in New Mexico where the first atomic bombs were designed and built. General Leslie Groves was in overall command of it. This film reenacts the project with an emphasis on their relationship.",2 nominations.,6.5,20 Oct 1989,nm0423646
FATAL VISION,tt0087244,,OTH,TV,"THE FILM WAS QUITE ACCURATE AND FACTUAL. ALL THE REQUESTS WERE GRANTED, BUT TOO LATE FOR PRODUCTION CO. NO ACTUAL MILITARY ASSISTANCE RENDERED. STORY OF GREEN BERET WHO KILLED WIFE AND GIRLS, CLAIMED HIPPIES DID KILLING. FATHER-IN-LAW PURSUED CASE UNTIL OFFICER WAS PROSECUTED AND SENT TO JAIL. BASED ON BOOK OF SAME NAME.",1984,"Crime, Drama, History, Thriller",181 min,David Greene,"In 1970, military doctor Jeffrey McDonald reports a hideous and confusing story: A gang of hippies akin to the Manson Family broke into his North Carolina home and slaughtered his wife and two daughters, while somehow only wounding him slightly as he tried to fight them off. As McDonald continues to proclaim his innocence, his skeptical father-in-law Freddy Kassab and investigative journalist Joe McGinniss probe his story to uncover the truth.",Won 1 Primetime Emmy. Another 2 wins & 8 nominations.,7.8,18 Nov 1984,nm0338719
FATHER GOOSE,tt0058092,,LIM,FILM,LIMITED NAVY ASSISTANCE ON STORY ABOUT AN AMERICAN WHO BECOMES A COAST WATCHER ON A SOUTH PACIFIC ISLAND,1964,"Adventure, Comedy, Romance, War",118 min,Ralph Nelson,During World War II South Sea beachcomber Walter Eckland is persuaded to spy on planes passing over his island. He gets more than he bargained for as schoolteacher Catherine Frenau arrives on the run from the Japanese with her pupils in tow!,Won 1 Oscar. Another 1 win & 5 nominations.,7.4,24 Dec 1964,nm0625680
FERRIS BUELLER,tt0578940,"SLOAN AGAIN, NATURALLY",LIM,TV,THE DEPARTMENT FOUND NOTHING WRONG WITH THE SCRIPT AND HAD NO PROBLEM APPROVING. THE AIR FORCE ALLOWED USE OF THUNDERIIIRD FOOTAGE.,1990,Comedy,30 min,Andy Tennant,Ferris and Jeannie set their differences aside and work together to ruin a date between Sloan and the new exchange student from Italy. Ferris wants Sloan back and Jeannie wants the exchange student for herself.,,7.8,05 Nov 1990,nm0855035
FIELD OF FIRE,tt0101871,,DEN,FILM,"MR WEBB REQUESTED HELICOPTERS, EXTRAS FOR FILMING IN VIETNAM. AS A FALL-BACK MEASURE, IF THE POLITICAL SITUATION PRECLUDED FILMING WITH U.S. ASSETS IN VIETNAM, HE REQUESTED MARINES ON LEAVE TO FILM IN VIETNAM. NUMEROUS NEGATIVE MILITARY PORTRAYALS. MARINES ASKED FOR RECONSIDERATION ON 12-JAN-1994. NO FURTHER ACTION TAKEN. PROJECT IN LIMBO UNTIL 1999 WHEN WEBB REVISED SCRIPT AND RESUBMITTED IT TO SAAV. STILL NO OFFICIAL ACTION. AS OF 01 JAN 2000, DOD IS STILL WAITING FOR THE PRODUCTION TO GET OFF THE GROUND.",1991,"Action, Adventure, War",96 min,Cirio H. Santiago,"Sergeant Thomas Duncan takes his men behind enemy lines to recover a secret government fighter copter and its pilot, a secret weapon all his own. But once stationed in the dense jungle ...",,5.3,22 Apr 1992,nm0379391
FIGHTER ATTACK,tt0045765,,LIM,FILM,PILOT SHOT DOWN OVER ITALY DURING WORLD WAR II. RELATIONSHIP DEVELOPS WITH RESISTANCE. SOME COMBAT FOOTAGE,1953,War,80 min,Lesley Selander,"World War II action in Italy involving fighter pilot's last sortie, and the help he receives from Italian partisans in an effort to complete it.",,5.6,29 Nov 1953,nm0782947
FIGHTER SQUADRON,tt0040353,,APP,FILM,FIRST POST-WAR COMBAT FILM. PORTRAYED P-51 FIGHTERS IN SUMMER OF 1944. FIRST MOVIE TO USE COLORED COMBAT FOOTAGE. FIRST FILM OF ROCK HUDSON. SHOT WITH HELP OF WISCONSIN AIR NATIONAL GUARD. STILL CONSIDERED AN EXCITING FILM.,1948,"Action, War",96 min,Raoul Walsh,"At an American air base in England, 1943, is conniving Sergeant Dolan, who manipulates everyone, and insubordinate ace fighter pilot Major Ed Hardin. When Ed is promoted to commander of his group, he must fight his former anti-authority stance as well as the enemy; tension grows as D-Day approaches. Generally lighthearted between moments of technicolor gore; lots of air combat footage, much of it genuine.",,6.2,27 Nov 1948,nm0909825
"FIGHTING ELITE, THE",,,DEN,TV,NOT IN THE BEST OF THE DEPARTMENT. THE FILM HAD A FEW MISLEADING FLAWS THAT WERE DIFFICULT TO GIVE OFFICIAL GUIDANCE ON HOW IT SHOULD BE PLAYED REALISTICALLY,,,,,,,,,
FIGHTING SEABEES,tt0036824,,APP,FILM,"NAVY PROVIDED FULL SUPPORT FOR STORY OF NAVY COMBAT ENGINEERS IN PACIFIC. ALLOWED FILMMAKERS TO SHOOT A SEABEE TRAINING EXERCISE AT CAMP PENDLETON INCLUDING THE BUILDING OF AN AIRFIELD, WHICH WAS THEN CUT INTO FILM.",1944,"Drama, Romance, War",100 min,Edward Ludwig,"Construction workers in World War II in the Pacific are needed to build military sites, but the work is dangerous and they doubt the ability of the Navy to protect them. After a series of attacks by the Japanese, something new is tried, Construction Battalions (CBs=Seabees). The new CBs have to both build and be ready to fight.",,6.6,10 Jul 1944,nm0524995
FINAL ANALYSIS,tt0104265,,LIM,FILM,THE UNITED STATES ARMY APPROVED USE OF THE PUBLIC HEALTH SERVICE HOSPITAL AT THE PRESIDIO IN SAN FRANCISCO. THE ARMY AND DOD FELT THIS ASSISTANCE WOULD BE A POSITIVE COMMUNITY THE ARMY PROVIDED USE OF THE PUBLIC HEALTH SERVICE HOSPITAL AS A COMMUNITY RELATIONS INITIATIVE,1992,"Drama, Thriller",124 min,Phil Joanou,"A psychiatrist (Gere) has an affair with his patient's sister (Basinger) who is married to a Greek mobster (Roberts). The mobster is a tyrant over his wife. The psychiatrist wants her to get a divorce, but she is afraid of what her husband would do. She has a medical condition that becomes apparent when she drinks. One night she drinks anyway and attacks her husband. The psychiatrist uses his professional pull to try and help her out of the consequences of her actions, but becomes uncertain if she is telling him the truth.",1 win & 4 nominations.,5.9,07 Feb 1992,nm0423333
"FINAL COUNTDOWN, THE",tt0080736,AKA THE LAST COUNTDOWN,APP,FILM,"APPROVED BY DOD. NAVY AND MARINE ALSO APPROVED USE OF EQUIPMENT AND INSTALLATIONS. THE USS NIMITZ BECOMES START OF TRITE SCIENCE FICTION MOVIE IN WHICH CARRIER RETURNS TO DECEMBER 6, 1941. WILL IT STOP PEARL HARBOR.",1980,"Action, Sci-Fi",103 min,Don Taylor,"In 1980, the assistant of the Department of Defense Warren Lasky is assigned by his mysterious chief Richard Tideman to visit the aircraft carrier USS Nimtz commanded by Capt. Matthew Yelland as an observer of the routines. Lasky finds that Wing Commander Richard T. Owens has a great knowledge of history. Out of the blue, the vessel faces a weird storm and they find that they have traveled back in time to the eve of the attack of Pearl Harbor on 06 December 1941. When the two Japanese Zeros attack the motorboat of Senator Samuel Chapman, the crew of the Nimitz rescues the senator and his assistant Laurel Scott. But sooner Lasky learns that the senator had disappeared on that day and Capt. Matthew Yelland is planning to attack the Japanese. Will these actions create a time paradox?",1 win & 2 nominations.,6.7,01 Aug 1980,nm0852279
FINAL JUSTICE,tt0107530,,DEN,TV,"REQUESTED USE OF KANSAS NATIONAL GUARD VEHICLES & NAVY SHIP FOR MINI-SERIES ABOUT MURDER OF MARINE BY ANOTHER MARINE & AN ENSUING CUSTODY BATTLE OVER HIS CHILD. MARINES SAID ""NO"" BY TELEPHONE AND WE DID ALSO (OVER PHONE). RECEIVED CONGRESSIONAL INTEREST AFTERWARDS AND STILL NO.",1993,"Drama, Thriller",240 min,Michael Switzer,"A naive young soldier shocks his family when he returns home on leave accompanied by a worldly older woman whom he introduces as his wife. The young man's mother strongly disapproves of the relationship, and urges him to seek a divorce, but he is blinded by love. The marriage fails, but the young man is brutally murdered before the divorce is final. Convinced of his wife's guilt, his mother embarks on a one-woman crusade to bring her to justice.",3 nominations.,7.1,07 Nov 1993,nm0842830
FINDER OF LOST LOVES,tt0086712,,LIM,TV,"THE DEPARTMENT FELT THE SCRIPT WOULD BE ADVANTAGEOUS. THE REQUEST OF FILMING AN ACTOR IN UNIFORM WITH A NAVY SHIP IN THE BACKGROUND AT NAVAL STATION, LONG BEACH, CALIFORNIA WAS GRANTED.",1985.0,Drama,60 min,,"Cary Maxwell is a private investigator and owner of Maxwell Unlimited. MU specializes in helping people find their lost loves. Each week Maxwell, along with Daisy Lloyd and Rita Hargrove, manage to help yet another heartbroken person reunite with someone from their past.",,6.7,22 Sep 1984,"nm0113617,nm0082676,nm0681604,nm0676336,nm0494885,nm0543129,nm0370749,nm0842093,nm0626872,nm0149548,nm0458033,nm0092853,nm0718467"
FIRE BIRDS,tt0099575,"FORMERLY 'WINGS OF APACHE""",APP,FILM,"THE AIR FORCE AND THE ARMY SUPPORTED THE MAKING OF THE FILM. ON THE OTHER HAND, THE REQUEST FOR AN APACHE TO BE USED A STATIC DISPLAY IN TOKYO WAS DENIED.",1990,"Action, Adventure",85 min,David Green,"The U.S. Government is willing to help any country that requires help in ridding themselves of drugs with support from the Army. Unfortunately, the drug cartels have countered that offer by hiring one of the best air-combat mercenaries and have armed him with a Scorpion attack helicopter. The army decides to send in its best people from its Apache Air Combat school. But first they have to be taught how to fly air-to-air combat missions",,4.8,25 May 1990,nm0337765
FIREFOX,tt0083943,,APP,FILM,FIRST CONTACT WITH THE AIR FORCE,1982,"Action, Adventure, Thriller",136 min,Clint Eastwood,"The Soviets have developed a revolutionary new jet fighter, called ""Firefox"". Naturally, the British are worried that the jet will be used as a first-strike weapon, as rumours say that the jet is indetectable on radar. They send ex-Vietnam War pilot Mitchell Gant on a covert mission into the Soviet Union to steal Firefox.",,6.0,18 Jun 1982,nm0000142
FIRST BLOOD,tt0083944,,DEN,FILM,DECLINED TO ASSIST BECAUSE MILITARY PORTRYALS WERE TOTALLY NEGATIVE AND INACCURATE.,1982,"Action, Adventure",93 min,Ted Kotcheff,"John J. Rambo is a former United States Special Forces soldier who fought in Vietnam and won the Congressional Medal of Honor, but his time in Vietnam still haunts him. As he came to Hope, Washington to visit a friend, he was guided out of town by the Sheriff William Teasel who insults Rambo, but what Teasel does not know that his insult angered Rambo to the point where Rambo became violent and was arrested. As he was at the county jail being cleaned, he escapes and goes on a rampage through the forest to try to escape from the sheriffs who want to kill him. Then, as Rambo's commanding officer, Colonel Samuel Trautman tries to save both the Sheriff's department and Rambo before the situation gets out of hand.",1 win & 2 nominations.,7.7,22 Oct 1982,nm0467646
FIRST TO FIGHT,tt0061667,,APP,FILM,"CONVENTIONAL WORLD WAR II MARINE STORY WHICH RECEIVED FULL COOPERATION, MEN, AND EQUIPMENT.",1967,"Drama, War",92 min,Christian Nyby,"Jack is the sole survivor of a Japanese attack on his squad at Guadalcanal. Because of his heroism and the fact that he is still alive, he becomes a Medal of Honor hero. He returns to train new recruits for the Marines and falls for a girl named Peggy. When training and marriage leave him with an empty feeling, he decides on a transfer back to the front lines. Soon he will find that marriage and life will change his outlook on the grueling battles that lie ahead.",,5.7,21 May 1967,nm0638528
FIXED BAYONETS,tt0043540,,LIM,FILM,KOREAN WAR STORY THAT COULD HAVE AS EASILY BEEN SET IN WORLD WAR II. ARMY PROVIDED LIMITED ASSISTANCE FOR STORY FILMED MOSTLY IN THE STUDIO,1951,"Action, Drama, War",92 min,Samuel Fuller,The story of a platoon during the Korean War. One by one Corporal Denno's superiors are killed until it comes to the point where he must try to take command responsibility.,,6.9,06 Dec 1951,nm0002087
FLAGS OF OUR FATHERS,tt0418689,,APP,TV,VERY MODEST ASSISTANCE PROVIDED -- ONE VINTAGE USMC AMPHIBIOUS ASSAULT VEHICLE PROVIDED (PLUS HISTORICAL TECHNICAL ADVISOR) FOR FILMING IN ICELAND (AS IWO JIMA); USMC EXTRAS FOR SCENE REENACIING DEDICATION OF THE USMC MEMORIAL IN DC.,2006,"Action, Adventure, Drama, History, War",135 min,Clint Eastwood,"In 1945, the Marines attack twelve thousand Japaneses protecting the twenty square kilometers of the sacred Iwo Jima island in a very violent battle. When they reach the Mount Suribachi and six Marines raise their flag on the top, the picture becomes a symbol in a post Great Depression America. The government brings the three survivors to America to raise funds for war, bringing hope to desolate people, and making the three men heroes of the war. However, the traumatized trio has difficulty dealing with the image built by their superiors, sharing the heroism with their mates.",Nominated for 2 Oscars. Another 16 wins & 26 nominations.,7.1,20 Oct 2006,nm0000142
FLAT TOP,tt0044621,,APP,FILM,MADE WITH FULL COOPERATION OF NAVY. DERIVATIVE OF EARLIER AIRCRAFT CARRIER MOVIES. USED MOSTLY COMBAT FOOTAGE TO CREATE STORY,1952,"Drama, War",83 min,Lesley Selander,"Group Commander Dan Collier, on an aircraft carrier in Korean waters during the Korean War, starts to think back to the rough days of the air-war against Japan during World War II, when he was in the same squadron. In flashbacks, he recalls the arrival of the squadron, led by Executive Officer Joe Rodgers, and the campaigns in which the squadron participated and its desperate fight for survival prior to the climax of the war.",,6.0,26 Oct 1952,nm0782947
"FLEET'S IN, THE",tt0034736,,APP,FILM,PEACETIME NAVY MUSICAL RELEASED AFTER WAR BEGAN. FULL COOPERATION IN FORM OF MEN AND SHIPS AS BACKGROUND TO STORY.,1942,"Musical, Romance",93 min,Victor Schertzinger,Shy sailor Casey Kirby suddenly becomes known as a sea wolf when his picture is taken with a famous actress. His buddies then make a bet with some other sailors that Casey can defrost an icy night club singer known as the Countess.,,6.6,24 Jan 1942,nm0006276
FLIGHT,tt0019884,,APP,FILM,MARINES GAVE FULL COOPERATION ON FILM ABOUT THE MARINE EXPEDITIONARY FORCE IN NICARAGUA. SQUADRON OF FIGHTERS GIVES CLOSE AIR SUPPORT TO MARINES ON THE GROUND. SHOWS HOW MARINE AIR AND GROUND FORCES WORK TOGETHER--IMAGE AND REALITY CARRIED FORWARD INTO WWII,1929,"Action, Adventure, Romance, War",110 min,Frank Capra,A Marine flyer and his flight school mentor fall for the same beautiful nurse.,,6.0,,nm0001008
FLIGHT COMMAND,tt0032477,,APP,FILM,NAVY FILM ABOUT DEVELOPMENT OF NAVIGATIONAL AIDS FOR BAD-WEATHER FLYING. FULL COOPERATION AT MIRAMAR AIR STATION. ONE OF SEVERAL PRE-WAR PREPAREDNESS FILMS THAT HOLLYWOOD TURNED OUT FOR ALL THE SERVICES.,1940,"Drama, War",116 min,Frank Borzage,"A rookie flyer, Ens. Alan Drake, joins the famous Hellcats Squadron right out of flight school in Pensacola. He doesn't make a great first impression when he is forced to ditch his airplane and parachute to safety when he arrives at the base but is unable to land due to heavy fog. On his first official outing, his poor shooting skills results in the Hellcats losing an air combat competition. His fellow pilots accept him anyway but they think he's crossed the line when they erroneously conclude that while their CO Billy Gray is away, Drake has an affair with his wife Lorna. Drake is now an outcast and is prepared to resign from the Navy but his extreme heroism in saving Billy Gray's life turns things around.",,6.4,27 Dec 1940,nm0097648
FLIGHT DECK,tt0167160,,APP,FILM,APPROVED,1988,Documentary,48 min,Richard C. Milligan,"There is no single weapon so flexible, so formidable, so capable of projecting power as an aircraft carrier and its Air Wing. Now see and feel what life on and above the Flight Deck is all about with an inside look at: The modern-day carrier Air Wing in action. Breathtaking cockpit views of missions, day & night landings and the treacherous environment of the deck crews. The staggering logistical requirements and role of the ""flat top"" and its battle group.",,,,nm0589706
FLIGHT FROM ASHIYA,tt0058104,,LIM,FILM,"MOVIE ABOUT AIR FORCE RESCUE ATTEMPT, PROVIDED LIMITED EQUIPMENT AND MEN AS BACKGROUND",1964,"Adventure, Romance, Drama, War",100 min,Michael Anderson,"Flight from Ashiya is a 1964 film about the U.S. Air Force's Air Rescue Service, flying out of Ashiya Air Base, Japan. In this fictionalized film set in the early 1960s, a flight crew's mission is to rescue a life raft of Japanese civilians stranded in rough seas. The Airplane used in the film was the HU-16 Albatross, A flying boat.",,5.4,25 Mar 1964,nm0027183
FLIGHT LIEUTENANT,tt0034739,,LIM,FILM,ARMY AIR CORPS PREPAREDNESS FILM. USE OF PLANES AND MEN AS BACKGROUND.,1942,"Action, Drama, Romance, War",80 min,Sidney Salkow,"A disgraced pilot determines to regain the respect of both his son, now a test pilot for the Army, and the men he once flew with.",,6.0,09 Jul 1942,nm0758508
FLIGHT NURSE,tt0046987,,APP,FILM,TRITE ROMANTIC STORY SET IN KOREAN WAR LOCALE. AIR FORCE PROVIDED EQUIPMENT AS BACKGROUND.,1953,"Biography, Drama, War",90 min,Allan Dwan,"This movie is about the war hero ""flight nurse"" Lillian Keil Flight Nurse Army Air Corps. One of a Cadre of FIRST flight nurses in military. Lillian is the MOST DECORATED WOMAN IN MILITARY HISTORY. She was one of the FIRST flight attendants for Pan Am then United. Back in those days ONLY nurses were HIRED by airlines. I'm proud to sY that Lillian was one of my DEAREST friends.",,5.4,15 Nov 1953,nm0245385
FLIGHT OF THE INTRUDER,tt0099587,,APP,FILM,"THE DEPARTMENT OF THE NAVY AND THE DOD, APPROVED THE PARAMOUNT FILM. THE FILM WAS TECHNICALLY ACCURATE AND PORTRAYED THE MILITARY IN A GENERALLY POSITIVE MANNER. ONE OF THE MOST POSITIVE MOVIES ABOUT US MILITARY IN VIETNAM. FAILED AT BOX OFFICE BECAUSE IT APPEARED AT THE TIME THE GULF WAR WAS BEING FOUGHT ON TELEVISION",1991,"Action, Drama, Thriller, War",115 min,John Milius,"After his bombardier is killed, Jake ""Cool Hand"" Grafton (Brad Johnson)', a carrier-based Intruder pilot, questions the purpose of Navy bombing missions. He finds an ally for his cynicism in Virgil Cole, a bombardier on his third tour of duty, and together they ponder the notion of one unsanctioned mission ""downtown"", to ""Sam City"" in North Vietnam.",,5.8,18 Jan 1991,nm0587518
FLIGHT TO NOWHERE,tt0038529,,APP,FILM,THE FILM HAS A POSITIVE PORTRAYAL OF THE NAVY. FILM ALSO ENHANCES THE RECRUITING EFFORT OF THE NAVY.,1946,"Crime, Drama, Film-Noir, Mystery, Thriller",79 min,William Rowland,A couple on board a plane find themselves mixed up in a plot to steal atomic secrets.,,4.6,01 Oct 1946,nm0746753
FLIRTATION WALK,tt0025124,,APP,FILM,TYPICAL WEST POINT STORY. ARMY ALLOWED FILMMAKERS TO SHOOT ALL EXTERNAL SCENES AT WEST POINT.,1934,"Musical, Romance",97 min,Frank Borzage,"A Musical-romance with Dick Powell as a private stationed in Hawaii who gets involved with Ruby Keeler, the general's engaged daughter. In order to avoid a scandal, the pair break up, but meet again years later when Powell's at West Point producing the annual play that turns out to star Keeler.",,5.7,01 Dec 1934,nm0097648
FLY AWAY HOME,tt0116329,AKA FATHER GOOSE,APP,FILM,"ESSENTIALLY A NON-MILITARY, FAMILY TYPE PICTURE ABOUT A MAN AND HIS DAUGHTER REUNITED WHILE HELPING SOME ORPHAN GEESE TO MIGRATE TO SAFETY FROM CANADA. BRIEF BUT REASONABLY POSITIVE AND ACCURATE SEQUENCE HAS GEESE PLUS ULTRALIGHTS EMERGENCY LAND AT AIR FORCE BASE. AFTER INITIAL SURPRISE, AIR FDRCE FEEDS GEESE, REFUELS ULTRA-LIGHTS, AND THE FILM GOES ON. APPROVED FILMING WITH NATIONAL GUARD AND USAF AIRCRAFT STATIONARY AND IN-FLIGHT OPERATIONS IN MY STATE (AIR NATL GUARD BASE) FOR SEVERAL DAYS.",1996,"Adventure, Drama, Family",107 min,Carroll Ballard,"Amy is only 13 years old when her mother is killed in an auto wreck in New Zealand. She goes to Canada to live with her father, an eccentric inventor whom she barely knows. Amy is miserable in her new life...that is until she discovers a nest of goose eggs that were abandoned when developers began tearing up a local forest. The eggs hatch and Amy becomes ""Mama Goose"". The young birds must fly south for the winter, but who will lead them there? With a pair of ultralight airplanes, Amy, her dad and their friends must find a way to do it.",Nominated for 1 Oscar. Another 5 wins & 6 nominations.,6.8,13 Sep 1996,nm0050597
FLY AWAY HOME,tt0082392,,APP,TV,"PILOT FOR VIETNAM WAR ERA SERIES. POSITIVE DEPICTION OF SOUTH VIETNAM, US. STATE DEPT, LLS. MILITARY. ARMY & NAVY DEPICTED. FILMED AT NAVY INSTALLATIONS & SECOND UNIT WORK WITH AN A-7",1981,"Drama, War",100 min,Paul Krasny,An American photojournalist is sent to Saigon to cover the Vietnam War.,,5.5,18 Sep 1981,nm0469957
FLYING BLIND,tt0099590,,DEN,FILM,NOT IN THE BEST INTEREST OF THE DOD AND WAS DENIED. THE DEPARTMENT CHOSE NOT TO SUPPLY STOCK FOOTAGE FOR THIS PARTICULAR FILM.,1989,Drama,96 min,Vince DiPersio,"Melodrama set in Philadelphia, PA in 1965. Eddie Panvini (Panebianco), a teenage photographer from South Philadelphia facing the Vietnam draft joins the coffeehouse fringe in 1965 Philadelphia and struggles with several moral choices before deciding to go to Vietnam as a war photographer.",,7.8,30 Jul 1990,nm0228122
FLYING FLEET,tt0019886,,APP,FILM,NAVAL AVIATION STORY WHICH RECEIVED FULL COOPERATION,1929,"Adventure, Drama, Romance",100 min,George W. Hill,"The story follows six midshipman after they graduate from Annapolis. Their goal is to become U.S. Navy pilots and three of them are eliminated at the San Diego Naval Base. The remaining three undergo grueling weeks of training at Pensacole Florida, and one crashes. The remaining two get their ""wings"" and are sent back to San Diego as full-fledged ""Sea Hawks"", and prepare there for the first Honolulu flight.",1 win.,6.7,19 Jan 1929,nm0384276
FLYING LEATHERNECKS,tt0043547,,APP,FILM,"MADE AT REQUEST OF MARINE AVIATION AS ANSWER TO JOHN WAYNE'S ""SANDS OF IWO JIMA."" RECEIVED FULL COOPERATION OE MARINES AT EL TORO AND AT CAMP PENDLETON. WAYNE PLAYS A COLONEL AND FILM DOES CONVEY PROBLEMS OF COMMAND AND CONTROL.",1951,"Action, Drama, War",102 min,Nicholas Ray,"Major Daniel Kirby takes command of a squadron of Marine fliers just before they are about to go into combat. While the men are well meaning, he finds them undisciplined and prone to always finding excuses to do what is easy rather than what is necessary. The root of the problem is the second in command, Capt. Carl 'Griff' Griffin. Griff is the best flier in the group but Kirby finds him a poor commander who is not prepared to the difficult decision that all commanders have to make - to put men in harm's way knowing that they may be killed.",,6.5,28 Aug 1951,nm0712947
FLYING MISSILE,tt0042468,,APP,FILM,"STORY OF DEVELOPMENT OF MISSILE-LAUNCHING SUBMARINES AT BEGINNING OF COLD WAR. NAVY PROVIDED SUBMARINE AND OTHER SHIPS INCLUDING AIRCRAFT CARRIER. SOME SUBMARINERS CONSIDER THIS AN IMPORTANT FILM BECAUSE IT SHOWED HOW SUBMARINES COULD WIN NEXT WAR. HOWEVER, IT ALSO SHOWS THE VULNERABILITY OF SURFACE SHIPS TO MISSILES LAUNCHED FROM BEYOND THE HORIZON FROM SUBMARINES.",1950,"Drama, War",91 min,Henry Levin,Fictional account of the role played by a somewhat impetuous US Naval commander in developing the first means of launching missiles from submarines.,,5.8,24 Dec 1950,nm0505610
FLYING TIGERS,tt0034742,,APP,FILM,ARMY AIR CORPS PROVIDED FIGHTER PLANES FOR FICTIONAL STORY OF THE AMERICAN VOLUNTEER FLIERS IN CHINA IN THE MONTHS BEFORE AND AFTER PEARL HARBOR,1942,"Action, Drama, Romance, War",102 min,David Miller,"Jim Gordon commands a unit of the famed Flying Tigers, the American Volunteer Group which fought the Japanese in China before America's entry into World War II. Gordon must send his outnumbered band of fighter pilots out against overwhelming odds while juggling the disparate personalities and problems of his fellow flyers. In particular, he must handle the difficulties created by a reckless hot-shot pilot named Woody Jason, who not only wants to fight a one-man war but to waltz off with Gordon's girlfriend.",,6.8,08 Oct 1942,nm0588183
FOLLOW THE FLEET,tt0027630,,APP,FILM,MUSICAL COMEDY SET ON NAVY STAGE. NAVY PROVIDED SHIPS AND MEN AS BACKGROUND TO IRVING BERLIN SONGS.,1936,"Comedy, Musical, Romance",110 min,Mark Sandrich,"When the fleet puts in at San Francisco, sailor Bake Baker tries to rekindle the flame with his old dancing partner, Sherry Martin, while Bake's buddy Bilge Smith romances Sherry's sister Connie. But it's not all smooth sailing: Bake has a habit of losing Sherry's jobs for her; and despite Connie's dreams, Bilge is not ready to settle down.",2 nominations.,7.2,20 Feb 1936,nm0762263
FOR THE BOYS,tt0101902,,OTH,FILM,"COMPANY WANTED MILITARY INSTALLATIONS AND EXTRAS. FINALLY, THEY DECIDED THAT NO DOD ASSISTANCE WAS REQUIRED AT ALL, BUT THEY WOULDNT HAVE RECEIVED IT ANYWAY, BASED ON NEGATIVE DEPICTIONS IN SCRIPT.",1991,"Comedy, Drama, Music",138 min,Mark Rydell,"With the help of the singer and dancer Dixie Leonhard US-Entertainer Eddie Sparks wants to bring some fun to the soldiers during World War II. Becoming a perfect team they tour from North Africa to the Pacific to act for ""the boys"". Later they continue their work but when the author Silver gets involved into McCarthy's campaign and is being fired by Eddie, Dixie turns away from him, too.",Nominated for 1 Oscar. Another 1 win & 2 nominations.,6.4,27 Nov 1991,nm0041932
FORCE OF ARMYS,tt0043553,,APP,FILM,WORLD WAR II COMBAT STORY SET IN ITALY. ARMY PROVIDED MEN AND EQUIPMENT,1951,"Drama, Romance, War",99 min,Michael Curtiz,"Winter, 1943. The German army has halted the American advance in the mountains of Italy; back-and-forth combat decimates Joe Peterson's platoon. On leave in Naples, Joe meets WAC lieutenant Eleanor MacKay; initially cool, she begins to melt during a bombing raid. Their romance develops despite Joe's periodic returns to the front. But whether he'll come back in the end becomes more than doubtful...",,6.5,13 Aug 1951,nm0002031
"FORD STORY, THE",tt0092642,,APP,TV,"GRANTED APPROVAL TO USE LONG BEACH NAVAL HOSPITAL AND THE NAVAL HOSPITAL. IN BETHESDA. DOD FELT THE STORY WAS HUMAN, MOVING, AND REFLECTED CREDIT ON THE DEPARTMENT",1987,"Biography, Drama",96 min,David Greene,"Based on the life of the former first lady, this film depicts the ups and downs of Betty Ford, the wife of President Gerald Ford. While Betty seems to ease into her prominent role in the ...",Won 1 Golden Globe. Another 1 win & 2 nominations.,6.4,02 Mar 1987,nm0338719
FOREVER YOUNG,tt0104291,AKA THE REST OF DANIEL,APP,FILM,PERMITTED USE OF ARMY RESERVE FACILITY AS BACK-GROUND FOR SIMULATED AIR SHOW SEQUENCE; FILM GAVE OPPORTUNITY TO SHOWCASE MILITARY AIRSHOWS.,1992,"Drama, Romance, Sci-Fi",102 min,Steve Miner,A 1939 test pilot asks his best friend to use him as a guinea pig for a cryogenics experiment. Daniel McCormick wants to be frozen for a year so that he doesn't have to watch his love lying in a coma. The next thing Daniel knows is that he's been awoken in 1992.,,6.3,16 Dec 1992,nm0591171
