Title,IMDB_ID,Subtitle,Status,Media Type,Year,Remarks
DEADLY MANTIS,tt0050294,,OTH,FILM,1957,"TYPICAL SCIENCE FICTION IN WHICH MILITARY IS CALLED IN TO DEFEAT MONSTER, LIMITED HELP FROM ARMY, NAVY, AIR FORCE"
"DECEPTION, THE",,AKA JULY 13TH,DEN,TV,,"FILMMAKERS FOR THIS TELEVISION MOVIE FOR CBS FIRST REQUESTED ARMY (THE ARMY SENT THEM TO THE AIR FORCE) THEN AIR FORCE ASSISTANCE IN MAKING THIS SCI-FI TYPE TELEFILM ABOUT METEORS CRASHING TO EARTH WHICH ARE REVEALED IN AN APOCOLYPTIC FINALE TO HAVE BEEN FRIENDLY ALIENS, WHOSE FRIENDLY OVERTURE WAS ANSWERED BY AIR FORCE MISSILES, HAS TURNED TO THE DESTRUCTION OF EARTH. NO FILE TO CONFIRM DATES."
DECISION BEFORE DAWN,tt0043459,,APP,FILM,1951,STORY OF GERMAN POW WHO AGREES TO SPY FOR THE UNITED STATES DURING WWII. PRODUCED BY FRANK MCCARTHY. RECEIVED FULL COOPERATION FROM ARMY FOR FILMING ON LOCATION IN GERMANY
DEEP ENCOUNTER,,,APP,TV,1973,"AFTER REVISION, THE PRODUCTION GOT APPROVAL THROUGH THE NAVY. POSITIVE FOR NAVY RECRUITING AND RETENTION. NOT PRODUCED. IN 1983, RETURNED AS DEEP PURSUIT {QV}, BUT AGAIN WAS NOT PRODUCED"
DEEP IMPACT,tt0120647,,APP,FILM,1998,"PRODUCTION COMPANY AGREED TO CHANGES IN SCRIPT; WE AGREED TO PROVIDE ARMY (NATIONAL GUARD) HELICOPTERS, VEHICLES (HMVEES, TRUCKS) FOR A FEW DAYS OF FILMING IN L.A. AREA"
DEEP PURSUIT,,DEEP ENCOUNTER,OTH,TV,,"THE FILM WAS KNOWN IN 1984 AS DEEP ENCOUNTER AND IT WAS APPROVED. THIS TIME. HOWEVER, IT SOMEHOW DIED"
DEEP SIX,tt0050298,,APP,FILM,1958,NAVY PROVIDED FULL COOPERATION ON FILM ABOUT A QUAKER IN THE SERVICE WHO BECOMES A HERD AFTER EARLY INABILITY TO FIGHT.
DEEPFREEZE,,,OTH,FILM,1958,NEED ADDITION INFORMATION
"DEER HUNTER, THE",tt0077416,,OTH,FILM,1978,"PRODUCERS DID NOT APPROACH DOD FOR HELP. OHIO FILM BUREAU DID REQUEST USE OF ANG PLANES WHICH GAVE DOD A CHANCE TO CRITIQUE SCRIPT. FOUND FULL OF ERRORS. NO RUSSIAN ROULETTE, ETC. PRODUCERS HAD SOUGHT USE OF ANG AT YOUNGSTOWN AIRPORT"
DEJA VU,tt0453467,,APP,FILM,1999,"APPROVFD FILMING AT CAMP MINDEN, LA (ARMY NATIONAL GUARD SITE) FOR APPROXIMATELY 20 DAYS. VARIOUS VEHICLES WERE EMPLOYED THAT WERE NOT REASONABLY AVAILABLE FROM COMMERCIAL SOURCES. FILMING TOOK PLACE A VARIOUS LOCATIONS, INCLUDING A BAYONET ASSAULT COURSE. APPROXIMATELY 10 SOLDIERS OPERATED AND MAINTAINED THE EQUIPMENT AND THERE WERE ALSO A SMALL NUMBER OF OFF-DUTY SOLDIERS WHO PERFORMED AS BACKGROUND EXTRAS."
DELTA FORCE COMMANDOS,,,DEN,TV,,"DID NOT QUALIFY UNDER DOD STANDARDS. SEVERAL SCENARIOS WERE UNREALISTIC. THE PRODUCTION WAS NO BENEFIT TO THE AIR FORCE, THE DEPARTMENT, NOR THE NATION."
DESERT STORM- THE MOVIE,,,DEN,FILM,1991,"THE AIR FORCE, THE MARINE CORPS, AND THE DOD DECIINED ASSISTING THE PRODUCTION BECAUSE DID NOT MEET THE NECESSARY CRITERIA. IT DIDNTT ENHANCE RECRUITMENT OR RENTENTION DR PUBLIC UNDERSTANDING OF THE ARMED FORCES. NO RECORD OF THE MOVIE BEING NADE"
DESIGNING WOMEN,,I'LL BE SEEING YOU,LIM,TV,1987,"AFTER REVIEWING THE SCRIPT, THE DOD AND AIR FORCE GRANTED THE USE OF STOCK FOOTAGE OF AMERICAN SOLDIERS RETURNING HOME TO CHEERING CROWDS AND LOVED ONES."
DESIGNING WOMEN,,"COME ON AND MARRY ME, BILL",APP,TV,1989,"THE AIR FORCE GAVE ASSISTANCE AFTER REVIEWING THE SCRIPT AND FINDING IT LIVELY, HUMOROUS, AND GOOD TASTE. IT WAS A SUPERB OPPORTUNITY TO BRING EXPOSURE TO A VERY IMPRESSIVE AND UNIQUELY MILITARY CEREMONY."
DESTINATION GOBI,tt0045682,,LIM,FILM,1953,US NAVY WEATHER MEN GO TO GOBI DESERT TO COLLECT WEATHER INFORMATION TO USE FOR ATTACKS ON JAPAN. LIMITED USE OF MEN AND EQUIPMENT
DESTINATION TOKYO,tt0035799,,APP,FILM,1943,WIDELY CONSIDERED TO BE ONE OF THE BEST SUBMARINE MOVIE OF WORLD WAR II. RECEIVED FULL COOPERATION IN THE RESEARCH AND DEVELOPMENT OF SCRIPT PROVIDED A SUBMARINE AT MARE ISLAND FOR EXTERIOR FILMING. CREATED CLICHE OF APPENDICITIS OPERATION ABOARD SUB. FILM FOCUSES ON AMERICAN SUB WHICH GOES INTO TOKYO BAY TO COLLECT WEATHER INFORMATION FOR DOOLITTLE RAID.
DESTINY,,,APP,FILM,,"THE NAVY, AIR FORCE, AND MARINE CORPS APPROVED THE FILM FINDING IT SUSPENSEFUL, EXCITING, AND PROOF THAT IT IS OF MUTUAL ADVANTAGE TO PRODUCER AND DOD TO WORK TOGETHER. PREMIERE IN DC THE DEPARTMENT AND THE MARINE CORPS APPROVED ASSISTANCE TO THE PRODUCTION ALLOWING THE CORPS TO PROVIDE OFFICE SCENES. NO RECORD OF FILM BEING MADE"
DESTROYER,tt0035800,,APP,FILM,1943,STORY OF THE BUILDING AND SERVICE OF A DESTROYER DURING WORLD WAR II. NAVY GAVE ACCESS TO SHIPYARD AND THEN SUPPLIED DESTROYER FOR FILMING AT SEA.
DEVIL AT FOUR O'CLOCK,tt0054805,,OTH,FILM,1961,NEED ADDITION INFORMATION
DEVIL DOGS OF THE AIR,tt0026275,,APP,FILM,1935,"MARINES AND NAVY PROVIDED FULL COOPERATION FOR STORY ABOUT MARINE AVIATION IN PEACETIME. FILM INCLUDES AN AIR AND SEA ASSAULT EXERCISE. HOWEVER, FILM DOES NOT EXPLAIN THE DIFFERENT MISSIONS OF NAVY AND MARINE AVIATORS FLYING FROM AIRCRAFT CARRIERS. RARE DEPICTION OF MARINE FLIERS TAKING OFF FROM AIRCRAFT CARRIER"
DEVIL'S BRIGADE,tt0062886,,APP,FILM,1968,"TYPICAL GROUP OF MISFITS A LA ""THE DIRTY DOZEN,"" WHOM WILLIAM HOLDEN MOLDS INTO CRACK UNIT ALONG WITH CANADIAN CONTINGENT. RECEIVED FULL ARMY COOPERATION IN FORM OF MEN, LOCATIONS, AND EQUIPMENT"
DEVIL'S PLAYGROUND,tt0028783,,APP,FILM,1937,"THIS WAS A REMAKE OF FRANK CAPRA'S ""SUBMARINE."" ALTHOUGH THE NAVY HAD PROVIDED FULL COOPERATION TO THE ORIGINAL FILM, THE MODEL FOR ALL FUTURE SUBMARINE DISASTER MOVIES, THE SERVICE MANIFESTED GREAT RELUCTANCE TO BECOME INVOLVED WITH THIS REMAKE, SOUND VERSION. NEITHER FILM WAS REALLY ANY GOOD FOR NAVY WITH THEIR IMAGES OF A SUNKEN SUBMARINE, A NAVY UNFAITHFUL WIFE, AND A DIVER WHO REFUSES AT FIRST ASSIGNMENT TO HELP RESCUE SUB BECAUSE HIS BEST FRIEND, WHO UNWITTINGLY SLEPT WITH HIS WIFE, IS ABOARD. ULTIMATELY, IN BOTH FILMS, THE CUCKHOLDED DIVER DOES DIVE DOWN TO THE STRICKENED SUB TO CARRY AIR HOSE TO SUB. AFTER MUCH NEGOTIATIONS AND SOME SCRIPT REVISIONS, THE NAVY PROVIDED ASSISTANCE. SEE ""GUTS & GLORY, REVISED EDITION"", FOR FULL STORY"
DIE HARD 2,tt0099423,,DEN,FILM,1990,"THE FILM MET NONE OF THE DEPARTMENTS CRITERIA FOR APPROVAL, SUCH AS HISTORICAL AUTHENTICITY, ACCURACY OF FEASIBILITY, BENEFITS TO UNDERSTANDING OF THE MILITARY, RECRUITING VALUE, ETC."
DINOSAUR,,,LIM,FILM,,THE DEPARTMENT OF DEFENSE APPROVED AND PROVIDED AN INFORMAL TOUR OF THE PENTAGON TO BE USED AS BACKGROUND IN THE FILM. NO RECORD OF FILM BEING MADE
DIRIGIBLE,tt0021799,,APP,FILM,1931,"CLASSIC PEACETIME NAVY BUDDY FILM. WHILE STORY FOCUSED ON DIRIGBILES, THE NAVY ALSO PROVIDED PLENTY OF AIRPLAN ES, MEN, SHIPS AS BACKGROUND, AND LOCATIONS. STORY IS A FANTASY OF A DIRIGIBLE RACING TO THE ANTARTIC TO RESCUE A DOWNED EXPEDITION TRYING TO REACH THE SOUTH POLE. MISSION SUCCEEDS AND NAVY AVIATORS BECOME HEROES."
DIRT WATER DYNASTY,,,LIM,TV,1988,THE DEPARTMENT APPROVED USE STOCK FOOTAGE TO THE PRODUCT ION
DIRTY DOZEN,tt0061578,,OTH,FILM,1967,CLASSIC RENDERING OF MISFIT (IN THIS CASE RAPISTS AND MURDERS) SOLDIERS BEING MOLDED INTO A CRACK RAIDER UNIT INTENDED TO KILL GERMAN OFFICERS TO DISTRUPT D-DAY COUNTER-ATTACK. FILM MADE IN ENGLAND AND DIRECTOR SAID THE STUDIO SAW NO NEED TO REQUEST ASSISTANCE.
DIRTY DOZEN IV,,,LIM,TV,1988,AIR FORCE APPROVED STOCK FOOTAGE OF SOME AIRCRAFT. AFTER REVIEWING THE SCRIPT AND FINDING ONLY ONE MAJOR OBJECIION.
DISASTER AT SILO 7,,SILO,APP,TV,1988,"THIS NON-FICTIONAL FILM WAS APPROVED BY THE AIR FORCE. THE DEPARTMENT AND THE AIR FORCE ASSISTED IN THE FACTUALITY AND ALSO PERMITTED THE PRODUCTION TO SHOOT AT PIMA AIR MUSUEM. THE PRODUCTION NOTES CONTAIN PRODUCER'S AND AIR FORCE TECHNICAL ADVISOR'S EXPLANATION FOR AIR FORCE COOPERATION, DESPITE THE FACT THAT THE FILM SHOWED THE AIR FORCE MAKING MISTAKES AND ENDANGERING CIVILIAN POPULATIONS"
DISTANT THUNDER,tt0095036,,DEN,FILM,,"FILM WAS DENIED BECAUSE SCENES OF THE FILM WERE OBJECTIONABLE. TOO FICITIONAL. ABOUT A VIETNAM VETERAN WHO LIVES ALONE IN THE WILDERNESS. AS OF JAN 2000, THE FILM HAS YET TO BE PRODUCED."
DIVE BOMBER,tt0033537,,APP,FILM,1941,"NAVY PREPAREDNESS FILM WHICH RECEIVED FULL COOPERATION. STORY OF HOW NAVY AVIATION MEDICAL DOCTORS TRIED TO SOLVE THE PROBLEM OF PILOT BLACKOUT DURING HIGH SPEED DIVES. MADE IN FULL COLOR. SOME PEOPLE OBJECTED TO THE DEATH OF SOME PILOTS AS BAD IMAGE MAKING, BUT NAVY ARGUED FILM SHOWED HOW SERVICE WAS TRYING TO SOLVE THE PROBLEM AND IF FILM ONLY SHOWED POSITIVE SIDE, IT WOULD BE LABELED PROPAGANDA."
"DON'T CRY, IT'S ONLY THUNDER",tt0083843,,LIM,FILM,1982,"BASED ON A TRUE STORY OF SOLDIER IN VIETNAM WHO FOUND WAYS TO GIVE AID TO A CATHOLIC ORPHANAGE IN SAIGON -- REPLACED HIS BEST FRIEND WHO WAS KILLED BY A VIETCONG WOMAN WHO DROPPED A GRENADE INTO A HELOCOPTER. ARMY PROVIDED LIMITED ASSISTANCE IN THE PHILIPPINES IN THE FORM OF HELICOPTER, MEN AND EQUIPMENT MADE FOR THEATRICAL RELEASE, BUT MAY NOT HAVE MADE IT THAT FAR. HAS APPEARED ON CABLE TV"
DON'T GIVE UP THE SHIP,tt0052749,,LIM,FILM,1959,JERRY LEWIS LOSES A BATTLESHIP AND CAN’T REMEMBER WHERE HE PUT IT. ONE OF HIS BEST COMEDIES. NAVY PROVIDED A FEW SCENES OF SHIPS AS BACKGROUND
DON'T GO NEAR THE WATER,tt0050327,,APP,FILM,1957,NAVY COMEDY IN SOUTH SEAS WORLD WAR II SETTING. SAILORS BUILDING A RECREATION HALL ON ISLAND-NAVY PROVIDED FULL COOPERATION (MOSTLY SAILORS AND SHIPS IN BACKGROUND).
DONDI,tt0054816,,OTH,FILM,1961,ARMY PROVIDED COURTESY ASSISTANCE TO STORY OF WAR ORPHAN ADOPTED BY SOLDIERS AND BROUGHT TO THE UNITED STATES
DONOVAN'S REEF,tt0057007,,OTH,FILM,1963,THE NAVY PROVIDED COURTESY ASSISTANCE ONLY TO JOHN WAYNE/JOHN FORD COMEDY SET ON PACIFIC ISLAND
DOWN PERISCOPE,tt0116130,,DEN,FILM,1996,"INFORMALLY PROVIDED SCRIPT FOR COMMENT & FEEDBACK. ADVISED LINE PRODUCER THAT SUPPORT WAS HOPELESS, GIVEN NEGATIVISM AND INACCURACIES AND THE FACT THAT THE FILM WAS BEING RUSHED INTO PRODUCTION, SO THE COMPANY WAS UNABLE TO MAKE HUGE CHANGES. DOD APPROVED OF THE NAVY WORKING WITH THE MARITIME ADMINISTRATION TO USE A MOTHBALLED SUBMARINE, WHICH WAS TOWED IN FRONT OF THE CAMERAS."
DRESS PARADE,tt0017829,,APP,FILM,1927,"TYPICAL WEST POINT MOVIE, MADE WITH FULL COOPERATTON OF ARMY AND THE MILITARY ACADEMY. FILMMAKERS SHOT ALL LOCATION SCENES AT WEST POINT"
DRUG WARS COLUMBIA,,,APP,TV,1992,THE NGB AND THE DEPARTMENT OF DEFENSE APPROVED FOR COURTESY ASSISTANCE. THE GUARD ALSO PROVIDED MILITARY VEHICLES.
E.R.,,CHAOS THEORY,APP,TV,2002,"APPROVED FILMING WITH CALIFORNIA ARMY NATIONAL GUARD VEHICLES AND SOLDIERS FOR TWO NIGHTS ON THE SET (AT WARNER BROS. STUDIO) TO ENACT A SCENE IN WHICH THE CHICAGO HOSPITAL IS EVACUATED, WHEN THE SCOPE OF THE EVACUATION EXCEED THE CAPABILITY OF CIVILIAN RESOURCES."
E.R.,,ON THE BEACH,APP,TV,2002,"APPROVED FILIMING FOR TWO DAYS AT FORD ISLAND NAVAL BASE, HONOLULU, HI, TO ENACT SCENE OF MAIN CHARACTER VISITING HIS CHILDHOOD NEIGHBORHOOD. PRODUCER AGREED TO CHANGE PORTRAYAL OF DRUG USE ON BASE DURING THE 70S PERIOD."
EAGLE IN THE SKY,,,DEN,FILM,,"THE FILM WAS DENIED BY THE US. NAVY AND DOD, AS COMPLETELY UNREALISTIC - REQUESTOR HAD WANTED USE OF AIRCRAFT FOR FILM IT DEPICTED OF THE NAVY. THE DEPARTMENT DECLINED TO ASSIST. NO RECORD OF FILM BEING MADE"
EAGLE STRIKE,,,DEN,FILM,,THE FILM DID NOT MEET DOD CRITERIA. THE DEPARTMENT DID NOT WANT TO COMPETE WITH THE INDUSTRIES THAT MADE THEM COMMERCIALLY AVAILABLE. NO RECORD FILM WAS EVER MADE
"EASY COME, EASY GO",tt0061610,,APP,FILM,1967,ELVIS PRESLEY COMEDY FOR WHICH THE NAVY PROVIDED LIMITED ASSISTANCE--PRESLEY PLAYS A FROGMAN
EIGHT IRON MAN,tt0044579,,OTH,FILM,1952,WORLD WAR II MOVIE WITH LESS THAN FAVORABLE IMAGES OF AMERICAN FIGHTING MEN. PRODUCERS DID NOT REQUEST COOPERATION.
EIGHTY-FOUR CHARLIE MOPIC,tt0096744,,OTH,FILM,1989,FILM ABOUT ARMY COMBAT CAMERAMEN WHO GO INTO FIELD TO FILM A SPECIAL RECON MISSION. NO REQUEST FOR HELP SINCE FILMED IN SOUTHEAST ASIA.
ELVIS AND ME,,,OTH,TV,1988,"THE ARMY AND DOD FOUND NO PROBLEM SUPPORTING THE FILM, BUT THE PRODUCTION COMPANY CONTACTED THE AIR FORCE FOR A PLANE AND THE FORCE COULD NOT ASSIST THEM."
EMERIL'S GREEN PLANET,,,APP,TV,,NULL
EMINENT DOMAIN,,,DEN,TV,1991,"NO BENEFIT TO THE AIR FORCE OR ITS PERSONNEL. DID NOT PORTRAY AIR FORCE/DOD OPERATIONS ACCURATELY. REQUEST FOR THE US OF MILITARY JEEPS, SEDANS, TRUCK, AND ASSISTANCE OF TWO HELICOPTERS TO THE PRODUCTION WAS DENIED."
EMPIRE OF THE SUN,tt0092965,,LIM,FILM,1987,THE NAVY AND DOD APPROVED FOR PERSONNEL TO BE USED AS EXTRAS VOLUNTARILY. THERE WAS ALSO A HOLD HARMLESS AGREEMENT INDUSTRY INSURANCE WAS CARRIED. THE REQUEST FOR A NAVY AIRCRAFT WAS DROPPED.
ENEMY BELOW,tt0050356,,APP,FILM,1957,FULL COOPERATION AT PEARL HARBOR FROM NAVY. PORTRAYS DUEL BETWEEN AN AMERICAN DESTROYER AND GERMAN SUBMARINE. GERMAN AND AMERICAN ARE BROTHERS IN ARMS WITH NO MENTION OF NATURE OF REGIME FOR WHICH THE GERMAN IS FIGHTING.
"ENEMY WITHIN, THE",,,OTH,TV,1994,"VISITED PENTAGON WITH RADM BATTLER (RET), CO OF USS NIMITZ DURING ""FINAL COUNTDOWN,” VISITED DIRECTOR OF JOINT STAFF VADM MACKE (XO OF NIMITZ DURING ""FINAL COUNTDOWN”). SAW NMCC, LEFT. NEVER RECEIVED FORMAL REQUEST FOR ASSISTANCE, ONLY FOR A COUPLE OF JCS DJCS FLAG PHOTOS. REMAKE OF ""7 DAYS IN MAY,"" HOPELESS"
ENOLA GAY,,,APP,TV,1980,FILM APPROVED BECAUSE OF ITS HISTORICAL ACCURACY ALLOWED USE OF REQUESTED MILITARY INSTALLATIONS.
ENSIGN PULVER,tt0058060,,DEN,FILM,1964,"NAVY REFUSED ASSISTANCE TO SEQUEL OF ""MR. ROBERTS"" WHICH HAD RECEIVED ASSISTANCE ONLY BECAUSE JOHN FORD WAS DIRECTING"
ERNEST SAVES CHRISTMAS,tt0095107,,APP,FILM,1988,"APPROVED THE REQUEST FOR AIR FORCE STOCK FOOTAGE OF PLANES, UNIFORMS, AND PERSONNEL, SINCE THE FILM PORTRAYED THE FORCE IN A POSITIVE MANNER."
ETERNAL SEA,tt0048047,,APP,FILM,1955,"TRUE STORY OF ADMIRAL HOSKINS, NAVY FLIER WHO LOSES LEG ON PRINCETON THE DAY HE IS SUPPOSED TO TAKE COMMAND. USES NAVY REGS TO REMAIN ON ACTIVE DUTY. LATER BECAME FIRST NAVY PILOT TO FLY A JET FIGHTER OFF CARRIER DECK, FULL COOPERATION"
EVERYBODY LOVES WHALES,,BIG MIRACL,APP,FILM,2012,"Initially requested the use of a BRAC base (Kulis Air Base} - efforts failed clue to facilities requested were put into emergency use by base officials. We did provide use of a Sky Crane relic which was dressed to appear as a functional aircraft, and numerous other hangars and AKANG personnel as extras."
EXECUTION OF PRIVATE SLOVAK,,,OTH,TV,1974,STORY OF EXECUTION OF ONLY AMERICAN SOLDIER IN 20TH CENTURY. APPARENTLY THERI WAS A SCRIPT REVIEW BUT NO ASSISTANCE PROVIDED.
EXECUTIVE DECISION,tt0116253,,APP,FILM,1996,"APPROVED REQUEST TO USE NAVY SHIPS, AIRCRAFT, PLUS ARMY HELICOPTER AND INSTALLATION. FOLLOWING BRIEF PERIOD OF SCRIPT NEGOTIATIONS (CONSIDERING THAT WE HAD GONE THROUGH THIS BEFORE WITH PREVIOUS INCARNATION OF PROJECT), GAVE APPROVAL. MILITARY DEPICTIONS REASONABLY ACCURATE AND POSITIVE. PRIMARILY AN ARMY PRODUCTION."
EXTRAORDINARY SEAMAN,tt0064307,,LIM,FILM,1969,MISGUIDED WORLD WAR II COMEDY. SOME COMBAT FOOTAGE AND SHOTS OF SHIPS
FACE OF WAR,tt0169885,,APP,FILM,1968,MARINE CORPS DOCUMENTARY ABOUT WORLD WAR II COMBAT
FAIL SAFE,,,OTH,TV,2000,"REMAKE OF ORIGINAL 1964 MOVIE. ONLY CLAIM TO FAME IS THAT IT WAS DONE LIVE ON NBC. HAS SAME PROBLEMS AS ORIGINAL AIRCRAFT, HANGAR, AND EXTRAS"
FAITH OF MY FATHERS,,,APP,TV,2005,"APPROVED FILMING THIS JOHN MCCAIN BIOPIC AT SEVERAL NAVY INSTALLATIONS, INCLUDING NAVAL SUPPORT ACTIVITY, NAVAL AIR STATION / JOINT RESERVE BASE IN THE NEW ORLEANS VICINIIY, FOR APPROXIMATELY ONE MONTH."
FAMILY OF SPIES,,,LIM,TV,1990,"THE REQUEST FOR EQUIPMENT AND FILMING ON SHIPS AND INSTALLATIONS WAS DENIED BEING THAT THERE WAS NO BENEFIT FOR NAVY OR DOD. HOWEVER, FILMING OF THE EXTERIORS WAS APPROVED FOR FILMING."
FAT MAN & LITTLE BOY,tt0097336,,DEN,FILM,1989,"THE FILM WAS DENIED FOR APPROVAL BECAUSE IT PROVIDED AN INACCURATE PORTRAYAL OF THE ARMY. THIS WAS A ""MESSAGE"" FILM AGAINST THE ATOMIC BOMB. COMPLETE FICTION. IT BENEFITED THE ARMY AND THE DEPARTMENT IN NO WAY WHATSOEVER"
FATAL VISION,,,OTH,TV,1984,"THE FILM WAS QUITE ACCURATE AND FACTUAL. ALL THE REQUESTS WERE GRANTED, BUT TOO LATE FOR PRODUCTION CO. NO ACTUAL MILITARY ASSISTANCE RENDERED. STORY OF GREEN BERET WHO KILLED WIFE AND GIRLS, CLAIMED HIPPIES DID KILLING. FATHER-IN-LAW PURSUED CASE UNTIL OFFICER WAS PROSECUTED AND SENT TO JAIL. BASED ON BOOK OF SAME NAME."
FATHER GOOSE,tt0058092,,LIM,FILM,1965,LIMITED NAVY ASSISTANCE ON STORY ABOUT AN AMERICAN WHO BECOMES A COAST WATCHER ON A SOUTH PACIFIC ISLAND
FERRIS BUELLER,,"SLOAN AGAIN, NATURALLY",LIM,TV,1990,THE DEPARTMENT FOUND NOTHING WRONG WITH THE SCRIPT AND HAD NO PROBLEM APPROVING. THE AIR FORCE ALLOWED USE OF THUNDERIIIRD FOOTAGE.
FIELD OF FIRE,,,DEN,FILM,1992,"MR WEBB REQUESTED HELICOPTERS, EXTRAS FOR FILMING IN VIETNAM. AS A FALL-BACK MEASURE, IF THE POLITICAL SITUATION PRECLUDED FILMING WITH U.S. ASSETS IN VIETNAM, HE REQUESTED MARINES ON LEAVE TO FILM IN VIETNAM. NUMEROUS NEGATIVE MILITARY PORTRAYALS. MARINES ASKED FOR RECONSIDERATION ON 12-JAN-1994. NO FURTHER ACTION TAKEN. PROJECT IN LIMBO UNTIL 1999 WHEN WEBB REVISED SCRIPT AND RESUBMIITED IT TO SAAV. STILL NO OFFICIAL ACTION. AS OF 01 JAN 2000, DOD IS STILL WAITING FOR THE PRODUCTION TO GET OFF THE GROUND."
FIGHTER ATTACK,tt0045765,,LIM,FILM,1953,PILOT SHOT DOWN OVER ITALY DURING WORLD WAR II. RELATIONSHIP DEVELOPS WITH RESISTANCE. SOME COMBAT FOOTAGE
FIGHTER SQUADRON,tt0040353,,APP,FILM,1948,FIRST POST-WAR COMBAT FILM. PORTRAYED P-51 FIGHTERS IN SUMMER OF 1944. FIRST MOVIE TO USE COLORED COMBAT FOOTAGE. FIRST FILM OF ROCK HUDSON. SHOT WITH HELP OF WISCONSIN AIR NATIONAL GUARD. STILL CONSIDERED AN EXCITING FILM.
"FIGHTING ELITE, THE",,,DEN,TV,,NOT IN THE BEST OF THE DEPARTMENT. THE FILM HAD A FEW MISLEADING FLAWS THAT WERE DIFFICULT TO GIVE OFFICIAL GUIDANCE ON HOW IT SHOULD BE PLAYED REALISTICALLY
FIGHTING SEABEES,tt0036824,,APP,FILM,1944,"NAVY PROVIDED FULL SUPPORT FOR STORY OF NAVY COMBAT ENGINEERS IN PACIFIC. ALLOWED FILMMAKERS TO SHOOT A SEABEE TRAINING EXERCISE AT CAMP PENDLETON INCLUDING THE BUILDING OF AN AIR FIELD, WHICH WAS THEN CUT INTO FILM."
FINAL ANALYSIS,tt0104265,,LIM,FILM,1992,THE UNITED STATES ARMY APPROVED USE OF THE PUBLIC HEALTH SERVICE HOSPITAL AT THE PRESIDIO IN SAN FRANCISCO. THE ARMY AND DOD FELT THIS ASSISTANCE WOULD BE A POSITIVE COMMUINITY THE ARMY PROVIDED USE OF THE PUBLIC HEALTH SERVICE HOSPITAL AS A COMMUNITY RELATIONS INITIATIVE
"FINAL COUNTDOWN, THE",tt0080736,AKA THE LAST COUNTDOWN,APP,FILM,1980,"APPROVED BY DOD. NAVY AND MARINE ALSO APPROVED USE OF EQUIPMENT AND INSTALLATIONS. THE USS NIMITZ BECOMES START OF TRITE SCIENCE FICTION MOVIE IN WHICH CARRIER RETURNS TO DECEMBER 6, 1941. WILL IT STOP PEARL HARBOR."
FINAL JUSTICE,,,DEN,TV,2000,"REQUESTED USE OF KANSAS NATIONAL GUARD VEHICLES & NAVY SHIP FOR MINI-SERIES ABOUT MURDER OF MARINE BY ANOTHER MARINE & AN ENSUING CUSTODY BATTLE OVER HIS CHILD. MARINES SAID ""NO"" BY TELEPHONE AND WE DID ALSO (OVER PHONE). RECEIVED CONGRESSIONAL INTEREST AFTERWARDS AND STILL NO."
FINDER OF LOST LOVES,,,LIM,TV,1985,"THE DEPARTMENT FELT THE SCRIPT WOULD BE ADVANTAGEOUS. THE REQUEST OF FILMING AN ACTOR IN UNIFORM WITH A NAVY SHIP IN THE BACKGROUND AT NAVAL STATION, LONG BEACH, CALIFORNIA WAS GRANTED."
FIRE BIRDS,tt0099575,"FORMERLY 'WINGS OF APACHE""",APP,FILM,1990,"THE AIR FORCE AND THE ARMY SUPPORTED THE MAKING OF THE FILM. ON THE OTHER HAND, THE REQUEST FOR AN APACHE TO BE USED A STATIC DISPLAY IN TOKYO WAS DENIED."
FIREFOX,tt0083943,,APP,FILM,1982,FIRST CONTACT WITH THE AIR FORCE
FIRST BLOOD,tt0083944,,DEN,FILM,1982,DECLINED TO ASSIST BECAUSE MILITARY PORTRYALS WERE TOTALLY NEGATIVE AND INACCURATE.
FIRST TO FIGHT,tt0061667,,APP,FILM,1967,"CONVENTIONAL WORLD WAR II MARINE STORY WHICH RECEIVED FULL COOPERATION, MEN, AND EQUIPMENT."
FIXED BAYONETS,tt0043540,,LIM,FILM,1951,KOREAN WAR STORY THAT COULD HAVE AS EASILY BEEN SET IN WORLD WAR II. ARMY PROVIDED LIMITED ASSISTANCE FOR STORY FILMED MOSTLY IN THE STUDIO
FLAGS OF OUR FATHERS,,,APP,TV,2006,VERY MODEST ASSISTANCE PROVIDED -- ONE VINTAGE USMC AMPHIBIOUS ASSAULT VEHICLE PROVIDED (PLUS HISTORICAL TECHNICAL ADVISOR) FOR FILMING IN ICELAND (AS IWO JIMA); USMC EXTRAS FOR SCENE REENACIING DEDICATION OF THE USMC MEMORIAL IN DC.
FLAT TOP,tt0044621,,APP,FILM,1952,MADE WITH FULL COOPERATION OF NAVY. DERIVITIVE OF EARLIER AIRCRAFT CARRIER MOVIES. USED MOSTLY COMBAT FOOTAGE TO CREATE STORY
"FLEET'S IN, THE",tt0034736,,APP,FILM,1942,PEACETIME NAVY MUSICAL RELEASED AFTER WAR BEGAN. FULL COOPERATION IN FORM OF MEN AND SHIPS AS BACKGROUND TO STORY.
FLIGHT,tt0019884,,APP,FILM,1929,MARINES GAVE FULL COOPERATION ON FILM ABOUT THE MARINE EXPEDITIONARY FORCE IN NICARAGUA. SQUADRON OF FIGHTERS GIVES CLOSE AIR SUPPORT TO MARINES ON THE GROUND. SHOWS HOW MARINE AIR AND GROUND FORCES WORK TOGETHER--IMAGE AND REALITY CARRIED FORWARD INTO WWII
